"","Name","Team","G","AB","H","BA","PA","HR","SO","BB","OBP"
"1","Corey Seager","Texas",17,66,21,0.318,82,6,12,15,0.451
"2","Marcus Semien","Texas",17,76,17,0.224,82,2,12,6,0.281
"3","Ketel Marte","Arizona",17,73,24,0.329,79,2,18,6,0.38
"4","Corbin Carroll","Arizona",17,66,18,0.273,78,2,13,9,0.364
"5","Christian Walker","Arizona",17,60,13,0.217,75,1,19,13,0.36
"6","Evan Carter","Texas",17,60,18,0.3,72,1,19,10,0.417
"7","Nathaniel Lowe","Texas",17,66,14,0.212,72,3,22,6,0.278
"8","Jonah Heim","Texas",17,66,14,0.212,71,3,10,5,0.268
"9","Josh Jung","Texas",17,65,20,0.308,70,3,19,3,0.329
"10","Gabriel Moreno","Arizona",17,63,15,0.238,70,4,20,6,0.304
"11","Lourdes Gurriel Jr.","Arizona",17,66,18,0.273,70,3,13,2,0.29
"12","Adolis García","Texas",15,62,20,0.323,68,8,18,3,0.382
"13","Leody Taveras","Texas",17,57,10,0.175,67,1,13,10,0.299
"14","Tommy Pham","Arizona",16,61,17,0.279,64,3,19,2,0.297
"15","Geraldo Perdomo","Arizona",17,51,14,0.275,63,2,16,7,0.362
"16","Mitch Garver","Texas",14,53,12,0.226,60,3,12,6,0.317
"17","Alek Thomas","Arizona",17,54,12,0.222,59,4,13,4,0.271
"18","Kyle Schwarber","Philadelphia",13,47,12,0.255,57,5,17,9,0.386
"19","Bryce Harper","Philadelphia",13,42,12,0.286,55,5,11,13,0.455
"20","Trea Turner","Philadelphia",13,49,17,0.347,55,3,8,5,0.4
"21","Evan Longoria","Arizona",16,48,8,0.167,54,0,21,3,0.226
"22","Alec Bohm","Philadelphia",13,46,11,0.239,53,1,9,6,0.34
"23","Nick Castellanos","Philadelphia",13,47,10,0.213,52,5,14,4,0.269
"24","J.T. Realmuto","Philadelphia",13,49,13,0.265,52,3,13,1,0.294
"25","Jose Altuve","Houston",11,49,14,0.286,51,4,4,2,0.314
"26","Bryson Stott","Philadelphia",13,46,11,0.239,51,1,14,4,0.294
"27","Yordan Alvarez","Houston",11,43,20,0.465,49,6,14,4,0.51
"28","Alex Bregman","Houston",11,41,9,0.22,49,4,10,7,0.347
"29","José Abreu","Houston",11,44,13,0.296,48,4,8,4,0.354
"30","Kyle Tucker","Houston",11,40,6,0.15,48,0,10,8,0.292
"31","Johan Rojas","Philadelphia",13,43,4,0.093,45,0,15,1,0.114
"32","Brandon Marsh","Philadelphia",12,38,13,0.342,42,1,15,4,0.405
"33","Jeremy Peña","Houston",11,40,8,0.2,42,0,6,1,0.238
"34","Martín Maldonado","Houston",11,28,4,0.143,34,0,11,4,0.273
"35","Michael Brantley","Houston",8,28,5,0.179,32,1,6,4,0.281
"36","Chas McCormick","Houston",8,28,8,0.286,31,1,5,2,0.355
"37","Royce Lewis","Minnesota",6,22,5,0.227,26,4,8,4,0.346
"38","Jorge Polanco","Minnesota",6,21,4,0.191,26,1,8,4,0.32
