"","game_pk","home_team","away_team","matchup.batter.fullName","matchup.pitcher.fullName","result.event","batting_team","fielding_team","atBatIndex","isHit"
"1",748581,"Tampa Bay Rays","Texas Rangers","Taylor Walls","José Leclerc","Flyout","Tampa Bay Rays","Texas Rangers","77",0
"2",748581,"Tampa Bay Rays","Texas Rangers","Josh Lowe","José Leclerc","Walk","Tampa Bay Rays","Texas Rangers","76",0
"3",748581,"Tampa Bay Rays","Texas Rangers","Jonathan Aranda","José Leclerc","Strikeout","Tampa Bay Rays","Texas Rangers","75",0
"4",748581,"Tampa Bay Rays","Texas Rangers","Isaac Paredes","José Leclerc","Pop Out","Tampa Bay Rays","Texas Rangers","74",0
"5",748581,"Tampa Bay Rays","Texas Rangers","Josh Jung","Andrew Kittredge","Strikeout","Texas Rangers","Tampa Bay Rays","73",0
"6",748581,"Tampa Bay Rays","Texas Rangers","Leody Taveras","Andrew Kittredge","Single","Texas Rangers","Tampa Bay Rays","72",1
"7",748581,"Tampa Bay Rays","Texas Rangers","Jonah Heim","Andrew Kittredge","Flyout","Texas Rangers","Tampa Bay Rays","71",0
"8",748581,"Tampa Bay Rays","Texas Rangers","Nathaniel Lowe","Andrew Kittredge","Groundout","Texas Rangers","Tampa Bay Rays","70",0
"9",748581,"Tampa Bay Rays","Texas Rangers","Harold Ramírez","Aroldis Chapman","Groundout","Tampa Bay Rays","Texas Rangers","69",0
"10",748581,"Tampa Bay Rays","Texas Rangers","Randy Arozarena","Aroldis Chapman","Strikeout","Tampa Bay Rays","Texas Rangers","68",0
"11",748581,"Tampa Bay Rays","Texas Rangers","Yandy Díaz","Aroldis Chapman","Groundout","Tampa Bay Rays","Texas Rangers","67",0
"12",748581,"Tampa Bay Rays","Texas Rangers","Adolis García","Jake Diekman","Strikeout","Texas Rangers","Tampa Bay Rays","66",0
"13",748581,"Tampa Bay Rays","Texas Rangers","Robbie Grossman","Jake Diekman","Strikeout","Texas Rangers","Tampa Bay Rays","65",0
"14",748581,"Tampa Bay Rays","Texas Rangers","Corey Seager","Jake Diekman","Walk","Texas Rangers","Tampa Bay Rays","64",0
"15",748581,"Tampa Bay Rays","Texas Rangers","Marcus Semien","Jake Diekman","Flyout","Texas Rangers","Tampa Bay Rays","63",0
"16",748581,"Tampa Bay Rays","Texas Rangers","Evan Carter","Jake Diekman","Double","Texas Rangers","Tampa Bay Rays","62",1
"17",748581,"Tampa Bay Rays","Texas Rangers","Junior Caminero","Jordan Montgomery","Strikeout","Tampa Bay Rays","Texas Rangers","61",0
"18",748581,"Tampa Bay Rays","Texas Rangers","Jose Siri","Jordan Montgomery","Flyout","Tampa Bay Rays","Texas Rangers","60",0
"19",748581,"Tampa Bay Rays","Texas Rangers","Taylor Walls","Jordan Montgomery","Single","Tampa Bay Rays","Texas Rangers","59",1
"20",748581,"Tampa Bay Rays","Texas Rangers","Manuel Margot","Jordan Montgomery","Lineout","Tampa Bay Rays","Texas Rangers","58",0
"21",748581,"Tampa Bay Rays","Texas Rangers","Josh Jung","Chris Devenski","Groundout","Texas Rangers","Tampa Bay Rays","57",0
"22",748581,"Tampa Bay Rays","Texas Rangers","Leody Taveras","Chris Devenski","Lineout","Texas Rangers","Tampa Bay Rays","56",0
"23",748581,"Tampa Bay Rays","Texas Rangers","Jonah Heim","Chris Devenski","Groundout","Texas Rangers","Tampa Bay Rays","55",0
"24",748581,"Tampa Bay Rays","Texas Rangers","Curtis Mead","Jordan Montgomery","Groundout","Tampa Bay Rays","Texas Rangers","54",0
