pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
4-Seam,2023-07-26,95.1,-0.9,6.76,"Schmitt, Casey",669477,676206,Double,hit_into_play,NA,NA,NA,NA,8,Casey Schmitt doubles (11) on a sharp line drive to center fielder JJ Bleday.   Mike Yastrzemski scores.,R,R,Right,SF,OAK,X,8,line_drive,2,0,2023,-0.47,1.61,0,1.72,NA,NA,573262,2,2,Bot,91.18,71.26,NA,NA,669127,NA,NA,3.36929006219585,-138.158096740939,-11.0892121268716,-6.69926737346963,29.0817328322248,-9.2587233806084,3.24,1.54,328,108.3,12,94.6,2412,5.9,717251,676206,669127,672478,680869,649557,669397,643393,668709,657656,54.55,0.929,0.953,1.25,1,1,1,5,16,3,4-Seam Fastball,2,0,2,0,0,3,3,0,Standard,Standard,207,0.086,0.695
Changeup,2023-07-26,85.5,-1.06,6.55,"Schmitt, Casey",669477,676206,No event,blocked_ball,NA,NA,NA,NA,13,Casey Schmitt doubles (11) on a sharp line drive to center fielder JJ Bleday.   Mike Yastrzemski scores.,R,R,Right,SF,OAK,Ball,NA,,1,0,2023,-0.86,0.9,-0.35,0.62,NA,NA,573262,2,2,Bot,NA,NA,NA,NA,669127,NA,NA,3.39271251781675,-124.323822165862,-9.52420195149457,-9.63510724779705,20.7729068915908,-21.3253777541075,3.45,1.65,NA,NA,NA,85.4,1723,5.9,717251,676206,669127,672478,680869,649557,669397,643393,668709,657656,54.61,NA,NA,NA,NA,NA,NA,NA,16,2,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,218,0,0.034
4-Seam,2023-07-26,92.8,-1.07,6.81,"Schmitt, Casey",669477,676206,No event,ball,NA,NA,NA,NA,11,Casey Schmitt doubles (11) on a sharp line drive to center fielder JJ Bleday.   Mike Yastrzemski scores.,R,R,Right,SF,OAK,Ball,NA,,0,0,2023,-0.36,1.34,-0.58,5.57,NA,NA,573262,2,2,Bot,NA,NA,NA,NA,669127,NA,NA,2.01440195497903,-135.286793228346,-0.385150546238008,-4.8103096210031,27.5305318495608,-15.6930391763665,3.54,1.71,NA,NA,NA,92.4,2284,5.8,717251,676206,669127,672478,680869,649557,669397,643393,668709,657656,54.72,NA,NA,NA,NA,NA,NA,NA,16,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,194,0,0.029
Changeup,2023-07-26,81.2,2.88,5.89,"Schmitt, Casey",669477,663687,Field out,hit_into_play,NA,NA,NA,NA,9,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Jordan Diaz.",R,R,Left,SF,OAK,X,5,ground_ball,2,1,2023,1.45,0.68,0.41,1.87,NA,NA,NA,1,5,Bot,94.31,164,NA,NA,669127,NA,NA,-8.37250551455207,-118.0311266287,-3.74189543417972,15.084372648289,21.0689859178192,-25.3105934385399,3.24,1.54,5,90.8,-21,82,2025,6.8,717251,663687,669127,672478,680869,607054,669397,643393,668709,657656,53.73,0.094,0.085,0,1,0,0,2,39,4,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,115,-0.022,-0.196
Changeup,2023-07-26,80.5,2.79,6,"Schmitt, Casey",669477,663687,No event,ball,NA,NA,NA,NA,1,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Jordan Diaz.",R,R,Left,SF,OAK,Ball,NA,,1,1,2023,1.1,0.84,-0.68,3.02,NA,NA,NA,1,5,Bot,NA,NA,NA,NA,669127,NA,NA,-9.83172320918681,-116.820105050376,-1.5115426232122,11.9135541784395,21.5494061243335,-24.4181947017905,3.4,1.63,NA,NA,NA,80.9,1700,6.6,717251,663687,669127,672478,680869,607054,669397,643393,668709,657656,53.86,NA,NA,NA,NA,NA,NA,NA,39,3,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,100,0,0.034
4-Seam,2023-07-26,91.5,2.62,6.21,"Schmitt, Casey",669477,663687,No event,ball,NA,NA,NA,NA,1,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Jordan Diaz.",R,R,Left,SF,OAK,Ball,NA,,0,1,2023,0.48,1.4,-0.76,3.28,NA,NA,NA,1,5,Bot,NA,NA,NA,NA,669127,NA,NA,-9.55616128416586,-132.855070996443,-4.51270882101995,7.73656702504253,29.2661253440082,-14.771617501319,3.41,1.56,NA,NA,NA,91.4,2103,6.4,717251,663687,669127,672478,680869,607054,669397,643393,668709,657656,54.12,NA,NA,NA,NA,NA,NA,NA,39,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,151,0,0.021
4-Seam,2023-07-26,91.6,2.82,6.13,"Schmitt, Casey",669477,663687,No event,called_strike,NA,NA,NA,NA,4,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Jordan Diaz.",R,R,Left,SF,OAK,Strike,NA,,0,0,2023,0.92,1.34,-0.55,2.64,NA,NA,NA,1,5,Bot,NA,NA,NA,NA,669127,NA,NA,-10.4618764100299,-132.819076961212,-5.75690629370467,13.2107798235497,31.0108464817636,-15.265897162806,3.48,1.68,NA,NA,NA,91,2278,6.4,717251,663687,669127,672478,680869,607054,669397,643393,668709,657656,54.15,NA,NA,NA,NA,NA,NA,NA,39,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,162,0,-0.027
Sinker,2023-07-26,95,-0.68,6.19,"Schmitt, Casey",669477,665734,walk,ball,NA,NA,NA,NA,11,Casey Schmitt walks.,R,R,Right,SF,OAK,Ball,NA,,3,1,2023,-1.05,0.77,-0.14,3.57,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,669127,NA,NA,3.81529067719135,-138.312904071669,-2.93762497432478,-14.2969351928934,32.0407570267096,-21.7985951310807,3.39,1.65,NA,NA,NA,95.8,3109,6.8,717251,665734,669127,672478,680869,607054,669397,643393,668709,657656,53.7,NA,NA,0.7,1,0,0,NA,54,5,Sinker,5,3,5,3,3,5,5,3,Standard,Standard,287,0.011,0.166
Sinker,2023-07-26,94,-0.75,6.18,"Schmitt, Casey",669477,665734,No event,ball,NA,NA,NA,NA,14,Casey Schmitt walks.,R,R,Right,SF,OAK,Ball,NA,,2,1,2023,-1.36,0.3,1,1.84,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,669127,NA,NA,7.58363125474105,-136.567734544182,-6.17935261537477,-18.6808484611801,30.9804449985791,-27.186120713305,3.39,1.65,NA,NA,NA,94.4,2839,6.6,717251,665734,669127,672478,680869,607054,669397,643393,668709,657656,53.85,NA,NA,NA,NA,NA,NA,NA,54,4,Sinker,5,3,5,3,3,5,5,3,Standard,Standard,187,0,0.077
Slider,2023-07-26,85.7,-0.85,6.08,"Schmitt, Casey",669477,665734,No event,ball,NA,NA,NA,NA,14,Casey Schmitt walks.,R,R,Right,SF,OAK,Ball,NA,,1,1,2023,0.03,0,2.14,-1.26,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,669127,NA,NA,7.07767116490712,-124.30610308183,-11.1367951090433,-1.09417062521426,24.9531913665032,-30.1188005848424,3.42,1.65,NA,NA,NA,86.5,2116,6.9,717251,665734,669127,672478,680869,607054,669397,643393,668709,657656,53.55,NA,NA,NA,NA,NA,NA,NA,54,3,Slider,5,3,5,3,3,5,5,3,Standard,Standard,30,0,0.034
