"","Player","FPTS.ESPN","FPPG.ESPN","KW","FPTS.ESPN.adj","FPPG.ESPN.adj","KW.adj"
"1","Tarik Skubal",332,16.6,11.61,332,16.6,11.61
"2","Seth Lugo",310,14.76,7.76,310,14.76,7.76
"3","Chris Sale",317,16.68,12.42,327,18.17,13.39
"4","Corbin Burnes",308,14.67,7.93,308,14.67,7.93
"5","Logan Gilbert",342,16.29,9.94,342,16.29,9.94
"6","Zack Wheeler",306,15.3,9.88,307,15.35,9.98
"7","Aaron Nola",277,13.19,8.19,277,13.19,8.19
"8","Dylan Cease",328,14.91,11.78,328,14.91,11.78
"9","Ranger Suarez",266,13.3,8.25,266,13.3,8.25
"10","Tyler Glasnow",292,15.37,12.09,292,15.37,12.09
"11","George Kirby",280,13.33,9.06,285,13.57,9.15
"12","Ronel Blanco",265,13.95,8.32,265,13.95,8.32
"13","Cole Ragans",283,13.48,9.31,283,13.48,9.31
"14","Tanner Houck",267,13.35,7.65,267,13.35,7.65
"15","Jack Flaherty",278,15.44,11.69,278,15.44,11.69
"16","Shota Imanaga",241,13.39,8.74,241,13.39,8.73
"17","Garrett Crochet",302,14.38,13.08,302,14.38,13.08
"18","Luis Castillo",265,12.05,7.5,265,12.05,7.5
"19","Erick Fedde",246,12.3,7.16,246,12.3,7.17
"20","Joe Ryan",267,13.35,9.6,265,13.25,9.6
"21","Luis Gil",249,12.45,9.63,250,12.5,9.72
"22","Tanner Bibee",256,12.19,9.28,256,12.19,9.28
"23","Sonny Gray",252,14,10.42,252,14,10.43
"24","Grayson Rodriguez",213,11.83,8.38,213,11.83,8.38
"25","Hunter Greene",261,13.05,9.36,261,13.05,9.36
"26","Michael King",260,12.38,8.66,261,12.43,8.73
"27","Mitch Keller",219,10.95,6.46,219,10.95,6.46
"28","Jake Irvin",244,11.62,7.12,244,11.62,7.12
"29","Bailey Ober",219,11.53,8.73,219,11.53,8.73
"30","Logan Webb",229,10.41,5.8,230,10.45,5.84
"31","Bryce Miller",242,12.1,7.76,242,12.1,7.76
"32","Tyler Anderson",234,11.7,5.63,234,11.7,5.63
"33","Nathan Eovaldi",229,12.72,8.49,229,12.72,8.49
"34","Kutter Crawford",247,12.35,8.16,251,11.95,8.13
"35","Luis Severino",206,10.3,5.84,206,10.3,5.84
"36","Reynaldo Lopez",235,13.06,7.44,235,13.06,7.44
"37","Carlos Rodon",202,9.62,7.77,207,9.86,7.83
"38","Brandon Pfaadt",237,11.85,7.48,237,11.85,7.48
"39","Andrew Abbott",207,10.35,5.68,207,10.35,5.68
"40","Max Fried",216,12,6.83,216,12,6.82
"41","Colin Rea",188,9.4,5.68,188,9.4,5.68
"42","Paul Skenes",221,18.42,13.44,221,18.42,13.44
"43","Freddy Peralta",236,11.8,9.74,236,11.8,9.74
"44","Gavin Stone",186,10.33,5.68,186,10.33,5.69
"45","Cristopher Sanchez",209,11,5.93,212,11.16,5.97
"46","Hunter Brown",195,9.29,7.03,223,11.15,7.63
"47","Pablo Lopez",210,10.5,9.03,210,10.5,9.02
"48","Jose Berrios",189,9,5.54,189,9,5.53
"49","Jameson Taillon",198,11.65,6.09,198,11.65,6.08
"50","Matt Waldron",221,10.52,6.79,221,10.52,6.79
"51","Kyle Gibson",186,9.79,6.42,186,9.3,6.42
"52","Brady Singer",223,11.15,7.04,223,11.15,7.04
"53","Framber Valdez",178,10.47,5.95,178,10.47,5.95
"54","Miles Mikolas",155,7.38,4.94,155,7.38,4.95
"55","Taj Bradley",214,15.29,10.62,231,17.77,12.05
"56","Nestor Cortes",222,10.57,7.2,222,10.57,7.2
"57","Kevin Gausman",183,9.15,6.82,183,9.15,6.82
"58","Sean Manaea",192,9.6,6.86,192,9.6,6.86
"59","Chris Bassitt",191,9.1,6.01,191,9.1,6.01
"60","Cal Quantrill",164,7.81,5.05,164,7.81,5.05
"61","Marcus Stroman",176,8.8,5.17,173,8.65,5.17
"62","Michael Wacha",181,10.06,6.28,181,10.06,6.28
"63","Nick Lodolo",170,11.33,8.45,170,11.33,8.45
"64","Justin Steele",208,13,8.02,208,13,8.02
"65","Jared Jones",194,12.12,8.73,194,12.12,8.73
"66","Yoshinobu Yamamoto",178,12.71,9.55,178,12.71,9.55
"67","Charlie Morton",185,10.28,7.21,183,10.17,7.21
"68","Zach Eflin",186,9.79,6.14,186,9.79,6.14
"69","Ben Lively",172,10.12,6.48,172,10.12,6.48
"70","Reese Olson",202,10.63,6.81,202,10.63,6.81
"71","Ryan Pepiot",182,10.71,8.97,182,10.71,8.97
"72","Simeon Woods Richardson",175,10.29,7,175,10.29,7
"73","Jon Gray",164,8.2,5.93,164,8.2,5.93
"74","Yusei Kikuchi",199,9.48,7.74,199,9.48,7.74
"75","Michael Lorenzen",163,9.59,5.46,163,9.59,5.46
"76","Jose Quintana",166,8.3,5.57,166,8.3,5.57
"77","Brayan Bello",123,6.83,6.01,123,6.83,6.01
"78","Jose Soriano",169,9.39,6.23,169,8.89,6.23
"79","Zac Gallen",156,9.75,7.06,156,9.75,7.05
"80","Lance Lynn",159,7.95,6.01,183,9.63,6.46
"81","Alec Marsh",155,8.16,6.76,155,8.16,6.76
"82","James Paxton",113,6.28,4.42,113,6.28,4.42
"83","JP Sears",143,6.81,5.16,143,6.81,5.15
"84","Mitchell Parker",159,8.83,6.32,159,8.83,6.32
"85","Tobias Myers",155,10.33,6.88,155,10.33,6.88
"86","Kyle Harrison",145,8.53,5.83,145,8.53,5.83
"87","MacKenzie Gore",172,8.6,7.23,167,8.35,7.18
"88","Bryse Wilson",145,5.8,5.87,145,5.8,5.87
"89","Andrew Heaney",192,9.6,7.33,192,9.6,7.33
"90","Nick Pivetta",171,10.69,9.26,171,10.69,9.26
"91","Javier Assad",159,8.83,5.96,159,8.83,5.96
"92","Ryne Nelson",116,6.11,4.55,116,6.11,4.54
"93","Zack Littell",161,8.05,6.01,161,8.05,6.01
"94","Bailey Falter",142,8.35,5.07,142,8.35,5.06
"95","Chris Paddack",122,7.18,5.79,122,7.18,5.79
"96","Austin Gomber",141,7.42,4.73,141,7.42,4.73
"97","Logan Taylor Allen",89,4.94,5.05,89,4.94,5.05
