home_team,away_team,description,events,release_speed,inning,outs_when_up,pitch_type,stand,type
SF,COL,swinging_strike,strikeout,86.2,5,2,Changeup,Right,Strike
SF,COL,ball,,92.2,5,2,Sinker,Right,Ball
SF,COL,swinging_strike,,82.8,5,2,Slider,Right,Strike
SF,COL,called_strike,,84.6,5,2,Changeup,Right,Strike
SF,COL,swinging_strike,strikeout,87,5,1,Changeup,Left,Strike
SF,COL,foul,,81.1,5,1,Slider,Left,Strike
SF,COL,swinging_strike,,81.9,5,1,Slider,Left,Strike
SF,COL,ball,,91.1,5,1,4-Seam,Left,Ball
SF,COL,called_strike,,82.2,5,1,Slider,Left,Strike
SF,COL,swinging_strike,strikeout,82.9,5,0,Slider,Right,Strike
SF,COL,ball,,86.2,5,0,Changeup,Right,Ball
SF,COL,called_strike,,81.8,5,0,Slider,Right,Strike
SF,COL,called_strike,,90.8,5,0,Sinker,Right,Strike
SF,COL,ball,,89.9,5,0,Sinker,Right,Ball
SF,COL,swinging_strike,strikeout,83.7,4,2,Slider,Right,Strike
SF,COL,blocked_ball,,87,4,2,Changeup,Right,Ball
SF,COL,foul,,82.4,4,2,Slider,Right,Strike
SF,COL,foul,,91.5,4,2,Sinker,Right,Strike
SF,COL,foul,,86.7,4,2,Changeup,Right,Strike
SF,COL,ball,,82.9,4,2,Slider,Right,Ball
SF,COL,swinging_strike,,82.4,4,2,Slider,Right,Strike
SF,COL,ball,,82.3,4,2,Slider,Right,Ball
SF,COL,called_strike,,85.8,4,2,Changeup,Right,Strike
SF,COL,called_strike,strikeout,91.6,4,1,Sinker,Right,Strike
SF,COL,ball,,88.1,4,1,Changeup,Right,Ball
SF,COL,swinging_strike,,86.8,4,1,Changeup,Right,Strike
SF,COL,called_strike,,91.3,4,1,Sinker,Right,Strike
SF,COL,ball,walk,86.7,4,1,Changeup,Left,Ball
SF,COL,ball,,92.9,4,1,4-Seam,Left,Ball
SF,COL,ball,,90.7,4,1,4-Seam,Left,Ball
SF,COL,foul,,83.9,4,1,Slider,Left,Strike
SF,COL,ball,,92.4,4,1,4-Seam,Left,Ball
SF,COL,called_strike,,91.4,4,1,Sinker,Left,Strike
SF,COL,hit_into_play,field_out,92.3,4,0,Sinker,Right,X
SF,COL,ball,,85.2,4,0,Changeup,Right,Ball
SF,COL,hit_into_play,field_out,83.7,3,2,Slider,Left,X
SF,COL,hit_into_play,field_out,91.6,3,1,Sinker,Right,X
SF,COL,ball,,81.5,3,1,Slider,Right,Ball
SF,COL,hit_into_play,field_out,91.4,3,0,Sinker,Right,X
SF,COL,ball,,83.4,3,0,Slider,Right,Ball
SF,COL,called_strike,,85.4,3,0,Changeup,Right,Strike
SF,COL,hit_into_play,grounded_into_double_play,91.9,2,1,Sinker,Left,X
SF,COL,ball,,91.9,2,1,Sinker,Left,Ball
SF,COL,ball,,87.5,2,1,Changeup,Left,Ball
SF,COL,hit_into_play,force_out,81.6,2,0,Slider,Right,X
